assoc_id_key,assoc_name,post_id
uuid:bebbfdff-94ff-47af-80e9-d8790af43f5f,Associacao Kungualirira Recursos de Buini,PA070201
uuid:8acf7527-23ce-42ff-889a-25e1cd955e6b,Associaçao Boa Vista de Machiquile,PA070201
uuid:b37ffa38-917e-40c6-a349-5d571757a90d,Associação Kubverana_John Segredo,PA071302
uuid:44a2e100-fd52-4249-bdb9-57f93d17ad03,Associação Kudhacara,PA071302
uuid:1e420065-7816-4b54-b5aa-16baf004f9ce,Associação Kunguarira upfumi de Pavo,PA070201
uuid:7161758f-f57a-4ef9-be0f-1863c29584c1,Associação cunguarira  maquachaedu de Buandua Régulo,PA070201
uuid:02c88d62-4770-4256-ae57-01f86c650657,Associação do Comité de Gestão de Recursos Naturais de Metuchira,PA071301
uuid:77c9c87f-69f7-4476-ba97-66e7ec82676a,Dabudjico tinaro de Mussinemue,PA070201
uuid:fa452427-bf71-434b-802f-f8bc73be4d45,Hama  I Badja de Inhamita,PA070201
uuid:cf11159e-c7a8-4d3d-b289-4ff762faad19,Hatidhi kutorewha ufhumi weddug,PA070201
uuid:51a3145e-5ac1-4dba-ac1b-8083d819f648,Kuzwana Mabupira,PA070201
uuid:f065e9f0-d987-4a3a-84e8-d3ce60969bc9,Unfumi wavia Munhica Mwuedo de Manheche,PA070201
uuid:c84f1177-ea39-4dff-92e0-00a19205910c,Urombo wapera de chindo,PA070201
